steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31
0.0,270.33984375,457.2373046875,323.72607421875,224.20458984375,279.9443359375,412.68505859375,358.962890625,388.234375,254.201171875,265.96044921875,397.890625,388.87353515625,313.38916015625,366.31201171875,424.32275390625,469.3173828125,352.271484375,168.96923828125,382.603515625,283.71142578125,3.71630859375,350.1767578125,475.32470703125,387.892578125,244.25146484375,300.3984375,415.1953125,379.11083984375,375.1259765625,418.75537109375,263.37255859375,100.54833984375
10526315.789473685,272.6572956153891,462.88087116119937,339.03550976465283,234.17324324129692,291.51323882628674,419.55526705263725,367.6394224351793,396.71477255992943,266.0132214303162,279.18090549004046,404.8384399387645,410.2973535120322,325.64026913286244,378.6637903924134,430.4892158415839,484.26168305457793,360.74736896446205,178.00492501721158,390.2628294292249,295.27188415474507,12.75822489017265,358.9615178530897,479.4591970919242,394.7775990943169,257.19117559026154,309.3390196129226,422.9028015717905,395.0966118471774,382.5999817082096,432.8471352215289,269.90003047953684,111.40585461481787
21052631.57894737,317.1260499161697,561.7840934499809,610.0509106881731,428.6165163748152,489.5182689101412,540.1245815377487,519.8971049316702,541.8504891303107,472.95541689336466,522.223666877958,525.849697353437,776.7138500636304,541.4502719736496,601.2811736162349,540.0574931332279,741.3070612984021,515.1210077423139,342.0980413230833,521.5732055146278,491.4928257405923,173.49587995788067,510.2422762894564,551.4267338517631,512.2943778130486,480.86307691272935,463.6850064560317,557.6520138552975,675.4798131002284,509.72793034635424,679.8273282381306,386.6599392296535,303.97017374065115
31578947.368421055,371.77787909679466,610.6366714876444,742.7528186702992,663.4667146437056,539.9859661857838,594.1498641201664,589.0629565603515,579.2108585339174,562.2569558732728,707.7292515934339,574.8146012562464,856.7466151073698,642.1366054423959,742.4004532267182,604.6989784253932,815.286943435669,628.9777038513458,452.77954291504835,553.469655344691,532.3524972065004,267.34643419561627,555.3175091651008,578.7880105932663,539.7170171116858,562.202254350826,511.443131113977,613.5088624214532,797.7889767446017,535.5927716516723,789.0285407367505,459.5730328176821,411.43677833007644
42105263.15789474,422.12353246165776,663.6860239393493,782.8230137970309,726.2187064374252,586.6909763515821,624.4360005333813,629.2225438115339,613.8540557375245,605.3885949576,746.7146161943261,613.3771836658594,868.3016338506894,680.427835089348,786.0808016969887,662.195917081965,857.8871796837805,677.6941718368319,474.75147211914907,562.6741796424844,593.949111727136,345.6263473066927,584.507886273709,594.5192600789162,561.3441289494903,645.8758467888238,534.5270584455158,643.238254330495,847.1629171239372,557.7867863937759,843.583222043151,514.9791539527703,496.38898004653385
52631578.94736842,461.99361457190685,691.7645485236044,839.6349321574055,763.8528459871245,638.059666535861,653.6701951964741,652.7366387784646,644.2974409396628,629.050340813613,805.7619207215771,640.7635335909032,883.2583030042886,704.1713997492169,820.2887867877358,701.5877886109075,874.0167068418043,697.0721575110903,505.55983670464514,573.8907910885903,638.5589721103785,399.16065602157255,605.3631162313213,609.4172406368308,568.9195341350629,684.103009202804,552.245584302992,669.3484322093531,855.8246064595569,569.4670998581229,854.5312872487752,569.0257679247129,563.3607409984452
63157894.73684211,493.0235203243689,715.0341351342663,853.608074344096,802.1509471481197,670.3190405388618,677.9710160675471,679.0895242057019,665.7076735536148,647.9952897497161,828.4477835388395,655.8806538568639,889.976147329378,728.1954918409649,835.051812922195,734.6757108524565,886.6308243347337,727.7084775010635,523.7650053151096,590.8411584151419,661.2412084066967,427.4460029047282,618.9117533269022,618.9108009153456,578.6392260892239,724.6817090306586,565.0416834057203,685.725880696833,851.3323916569972,582.2171691355613,880.5988165097224,629.0241534822205,604.2463173060536
73684210.5263158,522.2104500760001,731.606150020853,866.3519718323388,837.3278040423618,690.5115956850659,688.7867630419639,697.6440583662313,681.1175572495712,670.6908273868613,848.6445984708305,669.3872596907154,893.5512131878544,746.7360353496266,853.2526438123962,756.13814053443,891.2249744579073,752.8520591873212,537.3929207859937,612.0362188452829,676.2981833222831,474.3391320315755,637.5194111504383,632.5477218760018,590.0229583816846,747.7715955163634,574.9397021964646,700.283552744382,865.8159752988419,595.5243507686414,892.1150526366406,683.9777230978673,635.9489267235648
84210526.31578948,541.3030276734413,750.5449981372442,874.9498583510972,860.2936721125468,709.5464966475469,705.0122170910611,712.2635003932626,694.9084078506089,689.6664222231202,869.3411330859747,686.8979847028315,908.7936961631035,769.2712177266044,871.4207336552586,771.262139793248,901.1023434456696,774.6417450838802,553.1866789418905,637.0771835200344,688.9434776940174,526.7587758642815,652.5932354385503,645.1873355453364,602.6761574362123,770.3677325790278,587.3051542984812,717.5915688173923,874.6712126586576,605.4324700627631,903.1589601891853,723.3756824609645,663.7016102059066
94736842.10526316,557.9860494249085,771.0816165205514,884.8327442760943,873.4922833469105,729.393824203523,724.3119034146338,724.0581214276046,709.3924983888452,707.1895062956453,887.2570986602445,704.3192243589259,912.8596515549847,800.5622117658071,876.6703037502363,785.4292194453633,911.1114057635997,805.7277806525085,574.8212305330504,666.9392642882392,711.3831709164332,567.2439970956945,666.5891384180233,657.8368510658391,615.1891367838323,810.2529666060556,602.8140805210103,733.6529380225079,885.5734815452238,615.5459528022195,907.4052890753812,761.6358781217538,681.9835677305417
105263157.89473684,574.9937656487124,790.5437576790596,894.8163801098134,880.8744183749043,749.6356738637359,739.1377079585912,741.3355561914207,721.7886792629379,724.2091197650518,895.5036157623882,717.3210627035421,925.5073683625113,832.3152240874695,885.2015721725295,805.2726232100722,914.4114761167616,823.8307679009899,591.8364759957691,708.4923401301587,748.5948935506086,603.0008897120932,680.962898978236,670.9887801933817,626.7405639447664,853.7217868424518,614.512245936407,746.7004324551104,896.1017422953471,626.0466906502636,908.5183312265497,788.2014799540723,694.482149390963
115789473.68421052,588.3876381778981,810.0194247607709,902.9990619992285,895.353602884879,770.6642647185814,751.8182861943654,761.9627209621123,737.6284131607521,745.2967632365029,899.5439171658988,731.0519900480466,934.4676287418588,859.407802028339,895.965126686149,824.1164168968095,919.5480134057866,837.3568960200387,604.5565964878431,755.1225811807733,807.0112269274746,631.3190391215592,694.656532131734,686.3912648190421,637.2950049278809,885.7198953985177,625.9912502098612,761.8601987870446,901.4054727778871,636.3639460362887,915.7806049978303,812.2139276097686,704.7762874988967
126315789.47368422,601.6470400316233,826.6085987408076,911.9831896752862,912.7837601025019,789.1424027545961,767.9662946981076,774.7246747003699,756.0358119922332,762.5500195680232,908.793045852323,748.5060238930657,941.7946306846809,877.5004062441247,902.833987745882,838.8927233793729,927.170118812709,856.7772166550654,614.6898203767898,797.6403217791191,857.388652907184,655.0584859187584,706.5244431746634,702.4962272168527,647.5481544822206,910.4212344320197,635.5080502105882,779.6622425406924,909.0380716297435,644.6607432854142,926.1610259111568,832.8832299240408,714.1173068545862
136842105.2631579,609.6933050631156,840.4679842391503,920.8418597131555,922.8190735304455,808.7012125554178,785.4094263602492,783.5084022656703,772.9761664755126,776.4897802463859,922.3650349355471,762.726898762658,945.7949119644483,893.0942203291896,913.7335015466009,853.0031672765674,931.5923881900608,867.9989109818625,620.9901014549911,828.7401167283098,897.3134790061254,671.1380900279967,722.9943374253377,716.8995407849468,655.971680176225,927.781179195626,643.3094646184398,795.6142769969401,919.1239737698246,654.2098284163964,933.536262001027,850.3540746525053,719.8741788850926
147368421.0526316,617.1116293275786,855.7779353371618,931.4671435290096,929.4865317120116,823.6572589504422,799.093656061759,799.7165732502607,790.4484017918975,795.1899062497464,929.2014140131731,776.1919254926433,949.7947266650002,903.4394433055888,923.2627362306758,866.5432072742494,935.2003317830305,883.0679607285688,626.2628215224458,854.8309331745983,919.4040638878736,681.0902303526607,735.9652401350872,729.6733313346504,665.6555753929794,936.708633288122,661.4677107723796,809.451131860305,930.4217858988162,662.7734595771642,939.7714066280882,863.1705370319187,726.4673924670656
157894736.84210527,618.0530786553909,867.6083607845359,938.7674630223219,932.2394142481098,835.8800724404671,815.9168495867722,813.5779161400412,799.3541539197483,811.9345698462299,936.0029849345665,781.7235318894532,952.5116306751388,914.973428185957,933.3370717159598,876.4795898598647,939.9037490300525,897.3039193655316,631.1014075477368,878.6059574565729,937.0117697979936,690.090195021801,745.8762118704101,742.4899549655967,675.397051410992,945.519644820459,678.9162920875233,819.6604089657686,939.658967273057,667.95982869246,949.1444424090294,880.0500306145307,728.6492010523408
168421052.63157895,627.9492769954608,880.5856589319964,945.9755005770443,943.1095982601768,843.8139927829732,831.3052397540401,825.9400882668112,808.9982493392648,826.6833438820456,941.9744545891674,788.8974176760856,955.3661405610906,927.4155070761894,940.7183947153699,887.3539224555948,945.430914141795,908.8875868736542,635.2011204347056,900.9246829553324,946.6259159288909,691.7782180025307,759.6296698446089,752.5555499385929,681.5951832694691,953.47107174522,690.3169381096752,834.3534191902985,950.0803720997311,670.0830148712749,951.4983078172003,890.9053163819036,730.112654392739
178947368.42105263,634.7535222362613,884.2198405860204,951.1202686037714,949.8236260361289,855.2132044895204,847.2681017635272,839.3998425066306,815.4482664375093,833.0993281507095,948.506922980755,792.9294220720963,960.3260956735162,934.7062401982886,947.2546370854999,893.8107572301933,949.3767564171239,919.9052164944255,638.94299209283,929.3777376410043,952.4470510482788,698.4987964511248,769.4016340551614,760.4712967225389,687.8612961782313,958.3187317240602,695.24070189336,839.781188571222,956.6982953383322,673.254244416044,955.9775911645546,901.4897730225011,734.2544923792916
189473684.21052632,637.2102994786735,891.3501033333861,954.0299676092047,956.6142081131235,860.175706823777,856.768359686199,845.3741753332503,817.7701381936959,836.3216597063059,956.251826872786,797.416491756809,964.7784751617347,943.3821033889898,951.9154986991776,899.9340210093026,954.2398991069635,926.824036648399,644.2780398080884,937.8518461560278,956.5745641465332,699.8219484582833,778.4311128811823,767.9485095016183,692.1054387739821,963.5304382937106,701.4609674443168,849.6714506783313,960.4039150909043,677.6717805598252,959.8772771153754,910.6828002216413,738.6226806217944
200000000.0,643.2856531143188,889.0523834479483,955.7563875348944,960.1722683906555,862.3016501978824,862.004696871105,849.2947160570245,813.9177415747391,839.8160498267725,960.947701830613,798.2516251614219,966.9644086988349,947.5944026143927,954.4583933980841,900.699648179506,955.7196475581119,928.2898074702213,645.0830138106095,939.0212850068745,960.8926613456324,701.9655025381791,780.4961896695589,770.0591416609915,696.1942911399038,966.3802779850207,703.7459627452649,849.7822718871267,961.6844256551642,679.2551607834665,961.7488942397268,913.7767129948264,739.7863324064957
